Код_региона,ЛогинОО,Класс,Код_предмета,Year,n_students,mean_score,median_score,std_score,min_score,max_score,score_range,high_score_share,low_score_share,skewness,kurtosis,mean_raw_score,std_raw_score,location_type,settlement_size,settlement_name,is_special_school,total_students_oo,jump_to_3,share_near_3,jump_to_4,share_near_4,jump_to_5,share_near_5,max_threshold_jump,max_threshold_share,region_mean,region_std,region_group_count,z_mean_region,context_mean,context_std,context_group_count,z_mean_context,z_mean_final,flag_small_sample,flag_high_mean,flag_low_std,flag_high_min,flag_high_share,flag_threshold_jump,flag_context_extreme,risk_score,profile_type,risk_label
1,sch01110094,4,2,2019,10,0.745,0.75,0.1665082580534671,0.4,0.95,0.5499999999999999,0.4,0.1,-0.513707370353779,-0.527844563823654,14.9,3.3301651610693423,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,хутор,0.0,93.0,0.0,0.0,-0.1,0.1,0.0,0.4,0.0,0.4,0.6051642347243301,0.08434852237587469,145,1.657833016357209,0.5826907551718171,0.0781858607877469,40,2.075941138114573,2.075941138114573,False,True,False,False,False,False,False,0,высокий устойчивый результат,0
1,sch01113025,4,2,2019,31,0.746774193548387,0.75,0.16010857398359188,0.35,1.0,0.65,0.45161290322580644,0.06451612903225806,-0.6960251785071698,0.013799092074095576,14.935483870967742,3.202171479671838,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Новый,0.0,330.0,0.03225806451612903,0.03225806451612903,-0.03225806451612903,0.0967741935483871,0.16129032258064516,0.4838709677419355,0.16129032258064516,0.4838709677419355,0.6051642347243301,0.08434852237587469,145,1.678867096130188,0.5826907551718171,0.0781858607877469,40,2.09863313805563,2.09863313805563,False,True,False,False,False,False,False,0,высокий устойчивый результат,0
2,sch02123107,4,2,2019,205,0.8324390243902438,0.85,0.1415382476586018,0.3,1.0,0.7,0.7268292682926829,0.00975609756097561,-1.0632516635870988,1.0116421971139866,16.648780487804878,2.8307649531720362,1. Столица субъекта РФ,8. Более 680 тыс. человек,Уфа,0.0,2045.0,0.00975609756097561,0.00975609756097561,0.04390243902439024,0.06341463414634146,0.0975609756097561,0.28292682926829266,0.0975609756097561,0.28292682926829266,0.6246782989771268,0.07987265800745758,1219,2.601149512186244,0.693429334056574,0.06421305966600363,114,2.1648196030015017,2.1648196030015017,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02123132,4,2,2019,83,0.8361445783132531,0.85,0.11121271624116483,0.55,1.0,0.44999999999999996,0.6867469879518072,0.0,-0.38525686140724574,-0.5991595498281552,16.72289156626506,2.224254324823296,1. Столица субъекта РФ,8. Более 680 тыс. человек,Уфа,0.0,781.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.1686746987951807,0.40963855421686746,0.1686746987951807,0.40963855421686746,0.6246782989771268,0.07987265800745758,1219,2.6475427838695693,0.693429334056574,0.06421305966600363,114,2.2225267725754683,2.2225267725754683,False,True,False,True,True,False,False,2,высокий устойчивый результат,0
2,sch02123161,4,2,2019,23,0.7630434782608695,0.85,0.1714499491576552,0.4,0.95,0.5499999999999999,0.6086956521739131,0.043478260869565216,-0.9468709475385397,-0.3892232297019258,15.26086956521739,3.428998983153105,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Старые Турбаслы,0.0,201.0,0.0,0.0,-0.17391304347826086,0.17391304347826086,0.043478260869565216,0.30434782608695654,0.043478260869565216,0.30434782608695654,0.6246782989771268,0.07987265800745758,1219,1.7323222080680447,0.6137058720125949,0.06844410101424583,170,2.1818915587362566,2.1818915587362566,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02123164,4,2,2019,12,0.8666666666666667,0.875,0.11426091000668408,0.65,1.0,0.35,0.75,0.0,-0.24517732613475943,-1.1027614305115443,17.333333333333332,2.2852182001336816,1. Столица субъекта РФ,8. Более 680 тыс. человек,Уфа,0.0,99.0,0.0,0.0,0.0,0.0,0.25,0.4166666666666667,0.25,0.4166666666666667,0.6246782989771268,0.07987265800745758,1219,3.0296771601984984,0.693429334056574,0.06421305966600363,114,2.697852018127861,2.697852018127861,False,True,False,True,True,False,True,3,высокий устойчивый результат,0
2,sch02123344,4,2,2019,124,0.8145161290322581,0.85,0.11807839685721705,0.4,1.0,0.6,0.7016129032258065,0.008064516129032258,-0.9033836862147596,0.9361194070224377,16.29032258064516,2.361567937144341,2. Город,6. 100–450 тыс. человек,Октябрьский,0.0,1217.0,0.0,0.0,0.024193548387096774,0.04032258064516129,0.11290322580645161,0.4032258064516129,0.11290322580645161,0.4032258064516129,0.6246782989771268,0.07987265800745758,1219,2.3767561364667054,0.6464132351939232,0.07178436154948747,82,2.3417759830941214,2.3417759830941214,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02123345,4,2,2019,92,0.8445652173913044,0.85,0.10173936269018453,0.6,1.0,0.4,0.7391304347826086,0.0,-0.05376379017762516,-0.6102804007044673,16.891304347826086,2.0347872538036906,2. Город,6. 100–450 тыс. человек,Октябрьский,0.0,1132.0,0.0,0.0,0.0,0.0,0.2826086956521739,0.43478260869565216,0.2826086956521739,0.43478260869565216,0.6246782989771268,0.07987265800745758,1219,2.7529685864923534,0.6464132351939232,0.07178436154948747,82,2.7603781369675766,2.7603781369675766,False,True,False,True,True,False,True,3,высокий устойчивый результат,0
2,sch02123352,4,2,2019,127,0.8082677165354332,0.85,0.12114346598755835,0.5,1.0,0.5,0.6535433070866141,0.0,-0.45916820962859556,-0.6695402202239,16.165354330708663,2.4228693197511664,2. Город,6. 100–450 тыс. человек,Салават,0.0,1295.0,0.0,0.0,0.03937007874015748,0.03937007874015748,-0.031496062992125984,0.3779527559055118,0.03937007874015748,0.3779527559055118,0.6246782989771268,0.07987265800745758,1219,2.2985264562144025,0.6464132351939232,0.07178436154948747,82,2.2547317806807956,2.2547317806807956,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02123380,4,2,2019,76,0.8111842105263158,0.85,0.1306861155720993,0.45,1.0,0.55,0.6710526315789473,0.0,-1.1114350751149416,1.0769001116439867,16.223684210526315,2.613722311441986,2. Город,5. 50–100 тыс. человек,Сибай,0.0,812.0,0.0,0.0,-0.039473684210526314,0.06578947368421052,0.06578947368421052,0.3815789473684211,0.06578947368421052,0.3815789473684211,0.6246782989771268,0.07987265800745758,1219,2.3350407536428213,0.6468980926881072,0.07369930761383713,79,2.2291405870326493,2.2291405870326493,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02123674,4,2,2019,17,0.8117647058823529,0.85,0.14402758290229756,0.45,1.0,0.55,0.7647058823529411,0.0,-0.9888394374191201,0.5313431891046276,16.235294117647058,2.880551658045951,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",2. 1–5 тыс. человек,Верхний Авзян,0.0,140.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882,0.35294117647058826,0.23529411764705882,0.35294117647058826,0.6246782989771268,0.07987265800745758,1219,2.3423085142322195,0.6137058720125949,0.06844410101424583,170,2.8937312483443165,2.8937312483443165,False,True,False,False,True,False,True,2,высокий устойчивый результат,0
2,sch02123896,4,2,2019,82,0.7652439024390243,0.8,0.1529564389586699,0.4,1.0,0.6,0.5487804878048781,0.012195121951219513,-0.8209529882870208,-0.3252088254221732,15.304878048780488,3.059128779173398,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",3. 5–10 тыс. чел,Зилаир,0.0,594.0,0.0,0.0,-0.036585365853658534,0.15853658536585366,0.10975609756097561,0.35365853658536583,0.10975609756097561,0.35365853658536583,0.6246782989771268,0.07987265800745758,1219,1.7598713623474647,0.6453695157070047,0.05216152649790979,71,2.298138010528184,2.298138010528184,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02123938,4,2,2019,19,0.7894736842105262,0.75,0.1832304756371496,0.45,1.0,0.55,0.47368421052631576,0.0,-0.25524766246793396,-1.2597590514001906,15.789473684210526,3.664609512742991,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Андреевка,0.0,188.0,0.0,0.0,0.05263157894736842,0.15789473684210525,-0.05263157894736842,0.3684210526315789,0.05263157894736842,0.3684210526315789,0.6246782989771268,0.07987265800745758,1219,2.0632265075992935,0.5994152369144345,0.08048442669259741,540,2.361431336549141,2.361431336549141,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02124190,4,2,2019,15,0.7666666666666668,0.8,0.10434983894999017,0.55,0.95,0.3999999999999999,0.6,0.0,-0.1825361614285588,-0.5244689712619719,15.333333333333334,2.086996778999804,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,Зильдярово,0.0,160.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7333333333333333,0.06666666666666667,0.7333333333333333,0.6246782989771268,0.07987265800745758,1219,1.7776842693313502,0.5994152369144345,0.08048442669259741,540,2.0780595281001775,2.0780595281001775,False,True,False,True,True,False,False,2,высокий устойчивый результат,0
2,sch02124196,4,2,2019,30,0.7683333333333331,0.825,0.1800385761132566,0.4,1.0,0.6,0.6,0.03333333333333333,-0.5385927046497369,-0.9709067772283508,15.366666666666667,3.600771522265132,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,село,0.0,193.0,0.0,0.0,0.0,0.2,-0.06666666666666667,0.26666666666666666,0.0,0.26666666666666666,0.6246782989771268,0.07987265800745758,1219,1.7985508175124643,0.5994152369144345,0.08048442669259741,540,2.098767467948366,2.098767467948366,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
2,sch02124212,4,2,2019,15,0.8066666666666666,0.85,0.1436043948569201,0.6,1.0,0.4,0.6,0.0,-0.2181620069477701,-1.6164420147146248,16.133333333333333,2.8720878971384023,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",1. Менее 1 тыс. человек,село Старокулево,0.0,115.0,0.0,0.0,0.0,0.0,-0.2,0.3333333333333333,0.0,0.3333333333333333,0.6246782989771268,0.07987265800745758,1219,2.2784814256782076,0.5994152369144345,0.08048442669259741,540,2.575050084456825,2.575050084456825,False,True,False,True,True,False,True,3,высокий устойчивый результат,0
2,sch02124229,4,2,2019,49,0.7602040816326531,0.75,0.14249224534458102,0.35,1.0,0.65,0.46938775510204084,0.02040816326530612,-0.3915495788209459,-0.22934093885601436,15.204081632653061,2.849844906891621,"4. Населенный пункт сельского типа (село, хутор, деревня и пр.)",3. 5–10 тыс. чел,село Малояз,0.0,637.0,0.02040816326530612,0.02040816326530612,0.08163265306122448,0.08163265306122448,-0.08163265306122448,0.4897959183673469,0.08163265306122448,0.4897959183673469,0.6246782989771268,0.07987265800745758,1219,1.6967731641392536,0.6453695157070047,0.05216152649790979,71,2.201518506753248,2.201518506753248,False,True,False,False,True,False,False,1,высокий устойчивый результат,0
